vintage,ticker
2015-01-01,M
2015-01-01,MA
2015-01-01,MAC
2015-01-01,MAR
2015-01-01,MAS
2015-01-01,MAT
2015-01-01,MCD
2015-01-01,MCHP
2015-01-01,MCK
2015-01-01,MCO
2015-01-01,MDLZ
2015-01-01,MDT
2015-01-01,MET
2015-01-01,META
2015-01-01,MHK
2015-01-01,MJN
2015-01-01,MKC
2015-01-01,MLM
2015-01-01,MMM
2015-01-01,MNK
2015-01-01,MNST
2015-01-01,MO
2015-01-01,MON
2015-01-01,MOS
2015-01-01,MPC
2015-01-01,MRK
2015-01-01,MRO
2015-01-01,MRSH
2015-01-01,MS
2015-01-01,MSFT
2015-01-01,MSI
2015-01-01,MTB
2015-01-01,MU
2015-01-01,MUR
2015-01-01,NAVI
2015-01-01,NBL
2015-01-01,NBR
2015-01-01,NDAQ
2015-01-01,NE
2015-01-01,NEE
2015-01-01,NEM
2015-01-01,NFLX
2015-01-01,NFX
2015-01-01,NI
2015-01-01,NKE
2015-01-01,NLSN
2015-01-01,NOC
2015-01-01,NOV
2015-01-01,NRG
2015-01-01,NSC
2015-01-01,NTAP
2015-01-01,NTRS
2015-01-01,NUE
2015-01-01,NVDA
2015-01-01,NWL
2015-01-01,NWSA
2015-01-01,OI
2015-01-01,OKE
2015-01-01,OMC
2015-01-01,ORCL
2015-01-01,ORLY
2015-01-01,OXY
2015-01-01,PAYX
2015-01-01,PBCT
2015-01-01,PBI
2015-01-01,PCAR
2015-01-01,PCG
2015-01-01,PCL
2015-01-01,PCP
2015-01-01,PDCO
2015-01-01,PEG
2015-01-01,PEP
2015-01-01,PETM
2015-01-01,PFE
2015-01-01,PFG
2015-01-01,PG
2015-01-01,PGR
2015-01-01,PH
2015-01-01,PHM
2015-01-01,PLD
2015-01-01,PLL
2015-01-01,PM
2015-01-01,PNC
2015-01-01,PNR
2015-01-01,PNW
2015-01-01,POM
2015-01-01,PPG
2015-01-01,PPL
2015-01-01,PRGO
2015-01-01,PRU
2015-01-01,PSA
2015-01-01,PSKY
2015-01-01,PSX
2015-01-01,PVH
2015-01-01,PWR
2015-01-01,PXD
2015-01-01,QCOM
2015-01-01,QEP
2015-01-01,R
2015-01-01,RAI
2015-01-01,RCL
2015-01-01,REGN
2015-01-01,RF
2015-01-01,RHI
2015-01-01,RHT
2015-01-01,RIG
2015-01-01,RL
2015-01-01,ROK
2015-01-01,ROP
2015-01-01,ROST
2015-01-01,RRC
2015-01-01,RSG
2015-01-01,RTN
2015-01-01,RTX
2015-01-01,RVTY
2015-01-01,SBUX
2015-01-01,SCG
2015-01-01,SCHW
2015-01-01,SE
2015-01-01,SEE
2015-01-01,SHW
2015-01-01,SIAL
2015-01-01,SJM
2015-01-01,SLB
2015-01-01,SNA
2015-01-01,SNDK
2015-01-01,SNI
2015-01-01,SO
2015-01-01,SPG
2015-01-01,SPGI
2015-01-01,SPLS
2015-01-01,SRCL
2015-01-01,SRE
2015-01-01,STI
2015-01-01,STJ
2015-01-01,STT
2015-01-01,STX
2015-01-01,STZ
2015-01-01,SW
2015-01-01,SWK
2015-01-01,SWN
2015-01-01,SWY
2015-01-01,SYK
2015-01-01,SYY
2015-01-01,T
2015-01-01,TAP
2015-01-01,TDC
2015-01-01,TE
2015-01-01,TEG
2015-01-01,TEL
2015-01-01,TFC
2015-01-01,TGNA
2015-01-01,TGT
2015-01-01,THC
2015-01-01,TIF
2015-01-01,TJX
2015-01-01,TMO
2015-01-01,TPR
2015-01-01,TRIP
2015-01-01,TROW
2015-01-01,TRV
2015-01-01,TSCO
2015-01-01,TSN
2015-01-01,TSS
2015-01-01,TT
2015-01-01,TWC
2015-01-01,TWX
2015-01-01,TXN
2015-01-01,TXT
2015-01-01,TYC
2015-01-01,UAA
2015-01-01,UHS
2015-01-01,UNH
2015-01-01,UNM
2015-01-01,UNP
2015-01-01,UPS
2015-01-01,URBN
2015-01-01,URI
2015-01-01,USB
2015-01-01,V
2015-01-01,VAR
2015-01-01,VFC
2015-01-01,VIAB
2015-01-01,VLO
2015-01-01,VMC
2015-01-01,VNO
2015-01-01,VRSN
2015-01-01,VRTX
2015-01-01,VTR
2015-01-01,VTRS
2015-01-01,VZ
2015-01-01,WAT
2015-01-01,WBA
2015-01-01,WDC
2015-01-01,WEC
2015-01-01,WELL
2015-01-01,WFC
2015-01-01,WFM
2015-01-01,WHR
2015-01-01,WIN
2015-01-01,WM
2015-01-01,WMB
2015-01-01,WMT
2015-01-01,WU
2015-01-01,WY
2015-01-01,WYN
2015-01-01,WYNN
2015-01-01,XEC
2015-01-01,XEL
2015-01-01,XL
2015-01-01,XLNX
2015-01-01,XOM
2015-01-01,XRAY
2015-01-01,XRX
2015-01-01,XYL
2015-01-01,YHOO
2015-01-01,YUM
2015-01-01,ZBH
2015-01-01,ZION
2015-01-01,ZTS
